resume_skills,ai_vetted_skills,junior_skills,matched_skills_junior,is_passed,non_experienced_skills,matched_skills_non_experienced,total_resume_skills,total_vetted_skills
"ReactJS, NextJS, TypeScript, JavaScript, HTML, CSS, SASS, React Hooks, Redux, Storybook, Microfrontend, ES6, AWS, Python, Linux, Windows, Git, Bitbucket, Jest, Node.js, Express.js, MongoDB, MySQL, Webpack, Babel, VS Code, Jenkins, JIRA, Postman, Azure Boards, GitHub, REST API, Figma, Vite, Context API, JSON, Ant Design, Data Structures, Algorithms, Problem Solving","React: Mid-level | JavaScript: Junior | HTML, CSS: Mid-level",['javascript: junior'],['javascript: junior'],FALSE,[],[],40,3
"React.js, React Native, JavaScript, Solidity, Python, Java, C, HTML, Node.js, TensorFlow, Keras, Scikit-learn, RoboFlow, Microsoft Office, Microsoft SQL, Git","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior']",FALSE,[],[],16,3
"C/C++, Java, JavaScript, HTML, CSS, Tailwind, React.js, Node.js, MongoDB, Express.js, PHP, English, Hindi, French","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],14,3
"Java, .NET, SQL, Spring, Spring Boot, J2EE, HTML, CSS, JavaScript, ReactJS, Hibernate, GitHub","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],12,3
"HTML, CSS, JavaScript, ES6+, TypeScript, React.js, React Native, Redux, Redux Middlewares, React Query, Next.js, Meteor.js, Node.js, GraphQL, WebSocket, Docker, Amazon Web Services (AWS), Bootstrap, jQuery, Jest, Enzyme, Material UI, Tailwind CSS, MongoDB, Firebase, Schema Design, Pixel Perfect Design, Continuous Integration and Continuous Delivery (CI/CD), Pub Sub, Redis, Web Scraping, Mobile First Design and Development, TagUI, Puppeteer","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],FALSE,[],[],34,3
"HTML5, CSS3, Bootstrap, JavaScript, MySQL, MongoDB, Core Java, Manual Testing, Automation Testing, WordPress Design, Responsive Design","React: Junior | JavaScript: Junior | HTML, CSS: Mid-level","['react: junior', 'javascript: junior']",['javascript: junior'],FALSE,[],[],11,3
"JavaScript, TypeScript, React.js, Material UI, Vite, Tailwind, Zustand, Redux, HTML, CSS, D3.js, Webpack, Next.js, Headless UI, GitLab, Git, Visx, Figma, QR Scanner, React Table by TanStack, React Router, React Context, Storybook, Flow, Salesforce, Visualforce, GitLab CI/CD, Jenkins, Jest, Immutable.js, Grunt, Gulp, ExtJS, Angular, Babel, ESLint, React-Intl, InVision Studio","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],FALSE,[],[],38,3
"JavaScript, PHP, Gutenberg, Advanced Custom Fields (ACF), HTML, CSS3, Tailwind CSS, SCSS, React.js, Next.js, Remix, Node.js, Express.js, WordPress, WooCommerce, Twig, Liquid Templating, Git, Version Control, Shopify, LearnDash, MySQL, MongoDB, CI/CD, Command Line, AWS, Amazon S3, Amazon RDS, Kinsta, WP Engine","React: Junior | JavaScript: Mid-level | HTML, CSS: Senior",['react: junior'],['react: junior'],FALSE,[],[],30,3
"C, C++, JavaScript, HTML, CSS, Async JavaScript, APIs, Node.js, REST APIs, Mongoose, CRUD, Auth, Bootstrap, Tailwind CSS, Express.js, React.js, MongoDB, MySQL, VSCode, Postman, Netlify, Git, GitHub","React: Not experienced | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,['react: not experienced'],['react: not experienced'],23,3
"Configuration Management, Software Design, Project Documentation, Software Applications, Code Development, Software Development Life Cycle, Data Management, Database Programming","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",[],FALSE,[],[],8,3
"Java, C, Python, HTML, CSS, JavaScript, VS Code, Git, GitHub, ReactJS, MongoDB, Bootstrap, TailwindCSS, Data Structures and Algorithms, Problem Solving, Linux, REST API, PostgreSQL, Postman, Firebase","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],TRUE,[],[],20,3
"HTML, CSS, JavaScript, Vue.js, Nuxt.js, Vuetify, Tailwind CSS, Express.js, Lodash, Next.js, GraphQL, Figma, Docker, CI/CD, Interface Design, Web Development, UI/UX Design, Photoshop, Sketch, Agora","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],20,3
"TypeScript, JavaScript, HTML, CSS, React, Next.js, Redux, Tailwind CSS, Node.js, Express, MongoDB, Git, GitHub, AWS, EC2, Docker, Figma, Linux, Jest, React Testing Library, WordPress, Puppeteer, Dnd-kit, Shadcn, Gemini AI API, Google Model Viewer, React Fiber, Route 53, LightSail","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],29,3
"Python, Django, HTML, CSS, SQL, Microsoft Office Tools, Figma, UX/UI Design, Quality Assurance Documentation, eDoc, SOP, CAPA, cGMP, Organizational Skills, Communication Skills, Multitasking, Transparency, Accountability, Creativity, Web Development, Database Management, Adaptability, Leadership, Empowering Others, Planning and Organizing, Microsoft Excel, Microsoft Word, RESTful API, JavaScript, PHP, PowerPoint, Outlook, XAMPP, WAMP, MySQL, NetBeans, WordPress, Wix, Dreamweaver, Photoshop, Adobe Creative Suite, CorelDRAW","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],42,3
"HTML, CSS, JavaScript, React.js, Redux, Angular, Bootstrap, Tailwind CSS, Material UI, Git, GitHub","React: Not experienced | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,['react: not experienced'],['react: not experienced'],11,3
"Python, C#, Node.js, SQL, C, Express.js, React, Next.js, JavaScript, HTML, CSS, Jest, Amazon AWS, Amazon S3, AWS Glue, AWS Lambda, Apache Airflow, SQL Server, PostgreSQL, MongoDB, GitLab, GitHub, A/B Testing","React: Junior | JavaScript: Junior | HTML, CSS: Mid-level","['react: junior', 'javascript: junior']","['react: junior', 'javascript: junior']",FALSE,[],[],23,3
"JavaScript, Java, React.js, Redux, Node.js, Spring Boot, MongoDB, MySQL, Git, Prompt Engineering, Team Collaboration, MS Office","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior']",FALSE,[],[],12,3
"HTML, CSS, JavaScript, React, Node.js, SQL, Express.js, MongoDB, Python, EJS, Tailwind CSS, Socket.io","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],12,3
"HTML, JavaScript, SQL, CSS, Python, PHP, C++, Team Leadership, Communication, Time Management, Social Media, Teamwork, Microsoft Software, Technical Skills, Problem Solving","React: Not experienced | JavaScript: Not experienced | HTML, CSS: Not experienced",[],[],FALSE,"['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']","['javascript: not experienced', 'html: not experienced', 'css: not experienced']",15,3
"Java, PHP, JavaScript, Python, SQL, HTML, CSS, Android, AngularJS, ReactJS, Spring Boot, Hibernate, Node.js, MySQL, MongoDB, Firebase, NoSQL, AWS, Docker, CI/CD, CloudFormation, Kubernetes, Git, WordPress, GitHub, GitLab, Google Earth Engine, Sentry, DataDog, Unix Shell Scripting, OOP, API, Agile Methodologies, SDLC, Microservice, Prompt Engineering, Communication, Teamwork, Problem Solving, Active Learning","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],40,3
"JavaScript, TypeScript, CSS, HTML, Python, React.js, Node.js, Express, GraphQL, Webpack, Tailwind, Git, GitHub, Visual Studio","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],14,3
"HTML5, CSS3, React, Next.js, React-Native, JavaScript, TypeScript, Tailwind CSS, Redux, React-Query, React-Router, REST APIs, Apollo GraphQL, Git, NPM, Webpack, Babel, Puppeteer, Jest, RTL, Postman, Cucumber","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],22,3
"Java, HTML, CSS, JavaScript, React.js, Express.js, MongoDB, Tailwind CSS","React: Junior | JavaScript: Junior | HTML, CSS: Mid-level","['react: junior', 'javascript: junior']","['react: junior', 'javascript: junior']",FALSE,[],[],8,3
"JavaScript, jQuery, Python, Java, HTML, CSS, TypeScript, ES6, React.js, Next.js, Bootstrap, Ant Design, Tailwind, Postman, Git, Chrome DevTools, Figma, SQL, MongoDB, AWS, REST APIs, Agile Development, Version Control","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],23,3
"HTML, CSS, SCSS, Bootstrap, JavaScript, jQuery, TypeScript, Webpack, React.js, Redux, Next.js, GitHub, Material UI, Firebase, MongoDB, Prisma","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],FALSE,[],[],16,3
"JavaScript, TypeScript, C++, HTML, CSS, SCSS, React.js, Next.js, Webpack, Redux, Material-UI, Tailwind CSS, Jest, Git, Chrome DevTools, VSCode, Problem-solving, Adaptability, Teamwork/Collaboration, Leadership","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Junior","['html: junior', 'css: junior']","['html: junior', 'css: junior']",FALSE,[],[],20,3
"JavaScript, TypeScript, React.js, Next.js, HTML, CSS, Tailwind CSS, Sass, Bootstrap, Git, GitHub, GitLab, Visual Studio Code, Node.js, Express.js, MongoDB, Firebase, Redis, Python, C","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],20,3
"JavaScript, TypeScript, Python, Golang, C, HTML, CSS, SCSS, LESS, ReactJS, NodeJS, ExpressJS, NestJS, Jest, Vite, Vitest, ThreeJS, gRPC, NextJS, Postman, Figma, Git, Linux, Docker, AWS CDK, AWS Console, RabbitMQ, Blender, MySQL, PostgreSQL, DynamoDB, MongoDB, Elasticsearch","React: Mid-level | JavaScript: Junior | HTML, CSS: Mid-level",['javascript: junior'],['javascript: junior'],FALSE,[],[],33,3
"React.js, Node.js, JavaScript, TypeScript, Redux, Context API, Telemetry, HTML, CSS, Python, Java, Spring Boot, Hibernate, AngularJS, MySQL, Oracle, MongoDB, Azure DB, AWS, Microsoft Azure, GitHub, Bitbucket, Jenkins, Docker, Splunk, Swagger, Confluence, CI/CD, JIRA, Azure DevOps, Visual Studio Code, Eclipse, IntelliJ, Google Map API, React Query, Jest, React Testing Library, HTML5, CSS3, Agile Methodology, Scrum, SQL, REST API, MVC, Material UI, Unit Testing, Regression Testing, UAT, Localization","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],49,3
"JavaScript, TypeScript, ES6, Swift, Kotlin, React.js, Next.js, Storybook, Angular, React Native, Node.js, Redux, Material UI, Axios, React Router, HTML, CSS, SASS, Tailwind, Figma, Jest, React Testing Library, msw, REST APIs, GraphQL, MQTT, WebSockets, Babel, Webpack, npm, yarn, Microsoft Azure, CI/CD pipelines, GitHub, Scrum, Agile, Jira, AWS, Visual Studio","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],TRUE,[],[],39,3
"HTML5, CSS3, DHTML, JavaScript, XML, Angular, JQuery, Photoshop, Dreamweaver, Webpack, Husky, Dependency Cruiser, Gulp, Grunt, React, React-Redux, Redux-Thunk, Redux Toolkit, Redux DevTools, Angular.JS, Node.JS, Vue.JS, Jest, Enzyme, SASS, LESS, Responsive Web Design, Ag Grid, Highcharts, AJAX, WebStorm, Notepad++, Adobe Flash Professional, ActionScript, Microsoft Publisher, Eclipse, Sublime Text, GIT, Bitbucket, CVS, SVN, JIRA, Agile, TypeScript, Bootstrap, Material UI, Express.js, MongoDB, Oracle, MySQL, CouchDB, Adobe PageMaker, MS Office, Adobe Illustrator, Azure, Firebase, AWS, Jenkins, Azure DevOps","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],59,3
"JavaScript, HTML, CSS, SCSS, Angular, React, Next.js, Laravel, Ionic, styled-components, Tailwind CSS, Bootstrap, Figma, HTML5, CSS3, TypeScript, Sass, WordPress, jQuery, Perl, Photoshop, Avocode, Litmus, Jira, Trello, XAMPP, Git, Gulp, Grunt, Webpack, RESTful APIs","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],31,3
"JavaScript, Python, TypeScript, React, Redux, Node.js, HTML, CSS, Bootstrap, MySQL, MongoDB, PostgreSQL","React: Junior | JavaScript: Mid-level | HTML, CSS: Mid-level",['react: junior'],['react: junior'],FALSE,[],[],12,3
"HTML, CSS, React.js, Node.js, Logical Thinking, Analytical Thinking","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],6,3
"C/C++, Python, JavaScript, TypeScript, Java, SQL, HTML5, CSS3, PHP, Assembly Language, Git, GitHub, VS Code, Visual Studio, Jenkins, Material UI, Firebase, Vercel, SQLite, MongoDB, MATLAB, GNU Octave, MS Office, Enterprise Architect, Microsoft Project, Katalon Studio, Eclipse IDE, GCP, Power BI, Unix, Linux, Windows, Software Development Life Cycle, Debugging, Troubleshooting","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],35,3
"React.js, React Hooks, HTML, CSS, JavaScript, React Native, Renown, VS Code, Postman, Vercel, Netlify, GitHub, Agile Development, CORS Policies, RESTful APIs","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],15,3
"Angular, CSS, SASS, Tailwind, Bootstrap, Angular Material, Webpack, JavaScript, RxJS, TypeScript, ECMAScript, HTML, Spring MVC, Spring Boot, Hibernate, Spring Boot Security, Spring Multi-Module Architecture, Kafka, Docker, Keycloak, Git, CI/CD, SQL, IBM DB2, Core Java, Java Collections, Java Stream API, Ionic Framework, ASP.NET, Jenkins, AWS","React: Not experienced | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,['react: not experienced'],[],31,3
"HTML, CSS, JavaScript, TypeScript, React, Redux, Node.js, REST API, SQL, MongoDB, AWS, Docker, Kubernetes, Git, Jira, npm, Webpack, Data Structures","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],18,3
"Angular, React, React Native, Redux, RxJs, TypeScript, JavaScript, WebRTC, Ionic, PhoneGap, Cordova, Jasmine, jQuery, HTML5, CSS3, Sass, Scss, Bootstrap, Angular Material, PrimeNG, JSON, WebSQL, SQL, Oracle, Node.js, MongoDB, Express.js, OAuth2, JWT, Keycloak, Openshift, JHipster, .NET, Botpress, ChatScript, Agile Methodology","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],36,3
"C, Python, JavaScript, MongoDB, MySQL, VS Code, Excel, GitHub, HTML, CSS, ReactJS, NodeJS, ServiceNow, SharePoint, Bootstrap, MobX, TypeScript, Postman","React: Not experienced | JavaScript: Not experienced | HTML, CSS: Not experienced",[],[],FALSE,"['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']","['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']",18,3
"HTML5, CSS3, JavaScript, React, Redux, Bootstrap, Tailwind CSS, Node.js, Express.js, Python, SQLite, Git, NPM, Figma, VS Code, Chrome DevTools","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],16,3
"HTML, CSS, JavaScript, Java, Python, React.js, PHP, MySQL, MongoDB, RESTful APIs, Bootstrap, IoT, Machine Learning, Git, Figma, Linux, NetBeans, Eclipse, Visual Studio, Sublime Text","React: Not experienced | JavaScript: Not experienced | HTML, CSS: Not experienced",[],[],FALSE,"['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']","['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']",20,3
"HTML, CSS, JavaScript, TypeScript, React.js, Redux, Redux Toolkit, Node.js, Express.js, Tailwind CSS, Bootstrap CSS, MongoDB, Agile, Waterfall, Git, Bitbucket, Jira, RESTful APIs, GraphQL, Context API, React Query, Lazy Loading, Code Splitting, Memoization","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],24,3
"JavaScript, TypeScript, Next.js, React.js, Node.js, Redux, Python, Flask, Django, CI/CD, Quality Assurance, Testing, Test Driven Development, UI Design, Prototyping, Git, GitHub, Figma, Chrome Developer Tools, SASS, NPM, Adobe Creative Cloud","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']",['javascript: junior'],FALSE,[],[],22,3
"Web Design, Artificial Intelligence, Hardware Programming","React: Not experienced | JavaScript: Not experienced | HTML, CSS: Mid-level",[],[],FALSE,"['react: not experienced', 'javascript: not experienced']",[],3,3
"HTML5, CSS3, JavaScript, TypeScript, ReactJS, React Native, Angular, NgRx, RxJS, Redux-Saga, Node.js, NestJS, MongoDB, Material UI, Jasmine, Karma, Docker, Postman, Android Studio, IBM Watson, Figma, WebStorm, JIRA, Slack, GIT, Google Play Store, App Store, Spring Boot, MySQL","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],29,3
"React.js, Remix, TypeScript, Tailwind CSS, Bootstrap, Responsive Design, zod, Git, OpenAPI, Node.js, Express.js, MongoDB, Firebase, Gulp, Teamwork, Communication, Bug Fixing, Performance Optimization, HTML, CSS, JavaScript, Python, Angular, MySQL, PostgreSQL, Object-Oriented Programming","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],26,3
"HTML5, CSS3, JavaScript, React, jQuery, Bootstrap, Angular, Tailwind, Ionic, Node.js, Next.js, AJAX, JSON, SOA, MVC, Object-Oriented Programming, TypeScript, ECMAScript 6, React Flux, Virtual DOM, JSX, Two-way Data Binding, Templates, Services, Controllers, Scope, Custom Directives, Filters, Dependency Injection, Document Object Model, Jenkins, Docker, Webpack, Responsive Web Design, RESTful APIs, AWS EC2, AWS S3, SVN, GitLab, Bitbucket, Team Foundation Server, Karma, Jasmine, Protractor, HTTP Web Server, WebLogic, Apache Tomcat, JBoss, Google Chrome Web Debugger, Visual Studio Code, Eclipse, SoapUI, Agile, Waterfall, Windows, Mac OS, Linux","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],57,3
"Python, R, JavaScript, TypeScript, SQL, React, Tailwind, CSS, HTML, Zustand, Redux, React-Query, Unit Testing, ETL, Business Intelligence, Next.js, Vue.js, Angular, MongoDB, Docker, Machine Learning, Deep Learning, Node.js","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],23,3
"HTML, CSS, JavaScript, TypeScript, React.js, Express.js, Node.js, Git, Prisma, SQLite, VSCode, Bcrypt, JWT, Zod, Technical Troubleshooting, DHCP/DNS, LAN/WAN, Ethernet, Firewall Proficiency","React: Not experienced | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,['react: not experienced'],['react: not experienced'],19,3
"TypeScript, JavaScript, Node.js, ES6, ReactJS, Vue.js, jQuery, Styled Components, Bootstrap, UIKit, CSS, SASS, LESS, HTML5, HTML, xHTML, XML, Jest, Cypress, Storybook, MySQL, NoSQL, PHP, WordPress, CodeIgniter, Symfony, Serverless, Figma, Adobe XD, GitHub, GitLab, BitBucket, JIRA, AWS S3, AWS Lambda, AWS RDS, AWS DynamoDB, AWS Cloudfront, AWS SNS, Server Management, Database Management, Visual Studio Code, Sublime Text, Microsoft Office, MacOS, Windows, CentOS, Ubuntu, Adobe Photoshop, Adobe Illustrator","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],50,3
